canonical_counterparty,ai_counterparty_type,rule_based_type,confidence,classification_reason,evidence_terms,manual_review_required
J Maurenbrecher & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J P Bunt & Co,unknown,merchant,0.0,no rule matched,[],True
J R Thomason & Co,unknown,merchant,0.0,no rule matched,[],True
J Samalvier,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J Simpson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J W Gibbon,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. & C. Boyd & Co,unknown,merchant,0.0,no rule matched,[],True
J. B Thompson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. B. Elin,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. B. Elvis,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. B. Minshall,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Ballauce & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Bennock & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J. C. Im Thurm & Co,unknown,merchant,0.0,no rule matched,[],True
J. D. Dow,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Defries & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. G. Buskin,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. G. Homere,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Gaury & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J. H Boobyer & Co,unknown,merchant,0.0,no rule matched,[],True
J. H. Dant,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. H. Mackenzie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. H. Rudall & Son,unknown,other,0.0,no rule matched,[],True
J. Hubbard & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J. Hughes & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J. Kynaston & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. L. Minel,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. M. Buston,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Mosenthal & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
J. O. Beetron,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. P. Thol & Co,unknown,merchant,0.0,no rule matched,[],True
J. R. Jaffray & Co,unknown,merchant,0.0,no rule matched,[],True
J. S. Morgan & Co,merchant_bank,merchant_bank,0.95,"curated match: J. P. Morgan / Morgan, Grenfell — Anglo-American merchant bank","[""morgan""]",False
J. Samuel & Emmanuel,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Tenny Clarke & Co,unknown,merchant,0.0,no rule matched,[],True
J. W Laird,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J. Young Ehlers & Co,unknown,merchant,0.0,no rule matched,[],True
J.Greenich & Sons Ld,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
J.R Belltman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Ja Bull Sons Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jacob Isaac,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jacob Walter & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Jacomb, Hogg & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James & Brown,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Anderson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Barber & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Bult Son & Co,unknown,merchant,0.0,no rule matched,[],True
James Burness & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Consens,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Cook & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Coster & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Davidge,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Dickson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Duncan & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Fowa,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Lang,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Laurence,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Matthews & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Mills,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Mullins & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Norris,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Pin & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Scott & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Shears & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Spicer & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Steains & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Still & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
James Watt & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
James Wiseman,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jellicoe & Wix,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jersey Banking Coy,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Jh Macku,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joane Jackson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Anderson & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Armitage & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Barelli & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Bill Dresser & Co,unknown,merchant,0.0,no rule matched,[],True
John Boy & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Boyd,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Courtenay,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Crossley & Sons Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
John Currie & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Feltham & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Fore & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Getting,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Gladding & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Gladstone & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Goie & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John H Barbe,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Halles,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Harbottle,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Haurie Nephew,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Hubbard & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Hugher & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Macfrige,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Mair Son & Co,unknown,merchant,0.0,no rule matched,[],True
John Montefiore & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Pickessgill & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Pirie & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Ranking & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Rapp & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Reay Sons & Co,unknown,merchant,0.0,no rule matched,[],True
John Riaff Sons & Co,unknown,merchant,0.0,no rule matched,[],True
John S Baike,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Schneider & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Schwartz,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Sharp,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Simmonds,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Smith,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Tellham & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
John Torrance,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Walker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Williams & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
John Young Ehlers & Co,unknown,merchant,0.0,no rule matched,[],True
Joint Stock Discount Co Limited,discount_house,discount_house,0.95,"matched rules: commercial_bank, discount_house, industrial_or_corporate","[""discount house"", ""joint-stock"", ""joint-stock company suffix""]",False
Jonas Simonsen & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Jones & Brown,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jos. Bridgette & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Joseph Allard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Anderson & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Balfour,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Barwick,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Bridgett & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Joseph Callinson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Gonalaie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Jackson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Leese,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Richard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Samalivies,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Joseph Tetley & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Joseph Traves & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Josh Anderson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Josh Robinson + Ebbie Vale Co,unknown,other,0.0,no rule matched,[],True
Joshua Jornalvico,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jp Thol & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Jr Browne,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jroing Ellsworth & Adams,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jt Docoson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Jt Dow,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Judah, Hart & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Julius Jacoby,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Jw Silmer & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Keith Sands & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Kemp Stone & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Kerr & Scott,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Kess, Scott & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
King & Foa,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
King Melvil & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Kipling Pain & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Kleinwort Sons & Co,merchant_bank,merchant_bank,0.95,curated match: Kleinwort Sons & Co — merchant bank,"[""kleinwort""]",False
Koebel Jameson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Konig Bros,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Kraeutler & Mieville,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Kraft Bros,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
L Bisset & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
L Bunn & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
L Busson & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
L Cohen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
L Engstrom Neame & Co,unknown,merchant,0.0,no rule matched,[],True
L&A Brown,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
L. Brusewitz,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
L. Engstrom Browning & Co,unknown,merchant,0.0,no rule matched,[],True
"L. Goddard, Finch & Co",unknown,merchant,0.0,no rule matched,[],True
L. Hart & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
L.Boy.W.Bk Bk Chas Comiys Co,unknown,other,0.0,no rule matched,[],True
Langton + Robinson,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lanthe Buhnell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lapton Hootond & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Lascaridi & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Lat Discount Co Lo,discount_house,discount_house,0.85,matched rules: discount_house,"[""discount house""]",False
Leaf Sons & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Lemon Hart & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lengerke Caesar,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Leonon Hart & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lester & Buskin,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lewells + Nick,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lister & Biggs,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lloyd & Attree,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lloyd'S Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Locke Lanccaster W W R Johnson Sons Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
"Locke, Crosier & Edwards",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
"Lockie, Crosier & Edwards",individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lom Bunudti Soms & Co,unknown,merchant,0.0,no rule matched,[],True
Lon Hanseatic Bk Ld,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lon Jt Stock Bk,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lon Lpool Bk Of Comce,unknown,other,0.0,no rule matched,[],True
Lon Provincial Bk,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lon S.Western Bk,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lon: Asiatic & American Coy Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Lon: River Plate Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
London & Liverpool Bank Of Commerce Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""Bank of \u2026"", ""commercial"", ""joint-stock company suffix""]",False
London & Venezuela Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
London Bank Of Australia Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""Bank of \u2026"", ""joint-stock company suffix""]",False
London County Bank For The Midland Bank,commercial_bank,commercial_bank,0.95,curated match: London and County Bank,"[""london county bank""]",False
London Discount Corporation,discount_house,discount_house,0.95,curated match: London Discount Corporation — late-19th-c discount house,"[""london discount""]",False
London Missionary Soc,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
London River Place Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
London S N Coy Limited,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
London Westminister Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
Louis Cohen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Loveing & Minton,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lroving Ebsworth & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Luckie Brothers & Co,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Lupton Hooton & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Lurek Barelay,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lut & George,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lutgens & Ripley,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Lyon & Lucker,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
M Da Costa + I. E. Coleman,unknown,other,0.0,no rule matched,[],True
M F Mackenzie,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
M Levin & Adler,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
M. Mayer & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
M. Z. Just & Co,unknown,merchant,0.0,no rule matched,[],True
"Mac Intyre, Buchanan & Co",unknown,merchant,0.0,no rule matched,[],True
"Mackinlay, Reuss & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Mae Jontque Buchanan & Co,unknown,merchant,0.0,no rule matched,[],True
Manchester & Liverpool District Bkg Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Mangles Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Marshall Page & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Martin'S Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Mary Burton,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Matthew Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Mccalmont Brothers & Co,merchant_trading_firm,merchant,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
"Meares, Absolom & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Melhuish Sons & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Mercantile Bank Of India Ltd,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""Bank of \u2026"", ""joint-stock company suffix""]",False
Merchant Bank & Co Limited,commercial_bank,commercial_bank,0.95,"matched rules: commercial_bank, industrial_or_corporate, merchant_trading_firm","[""Bank Limited"", ""joint-stock company suffix"", ""merchants""]",False
Messrs Berkefeld,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Metrop Provincial Bank Limited,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
Middleton Answorth & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Mildred Goyeneche & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Miles Brother & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Miller & Potter,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Mitchell Yeames & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Mme Cherry Co,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Mody & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Morgan Yellibrand & Co,merchant_bank,merchant_bank,0.95,"curated match: J. P. Morgan / Morgan, Grenfell — Anglo-American merchant bank","[""morgan""]",False
Moris Ashby Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Morlet + Horne,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Morley & Powell,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Morley Nephew & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Morrison Dillon & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Moses Brothers,merchant_trading_firm,other,0.4,matched rules: merchant_trading_firm,"[""family firm pattern""]",False
Mullens Marshall & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
N Cohen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
N Fisher & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
N Garrett & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
N Nicholls & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
N. C. Frank & Sons,unknown,other,0.0,no rule matched,[],True
N. Ganuap,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
N. H + A Scott,unknown,other,0.0,no rule matched,[],True
N. H. Pantridge & Co,unknown,merchant,0.0,no rule matched,[],True
N. M. Rothschild & Sons,merchant_bank,merchant_bank,0.95,curated match: N. M. Rothschild & Sons — merchant banking dynasty,"[""rothschild""]",False
Nara Matu,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Nate Linds,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Nathaniel Cohen,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
National Bank Of Australasia,commercial_bank,commercial_bank,0.95,curated match: National Bank Limited,"[""national bank""]",False
National Bank Of India Ltd,commercial_bank,commercial_bank,0.95,curated match: National Bank Limited,"[""national bank""]",False
National Bank Of New Zealand,commercial_bank,commercial_bank,0.95,curated match: National Bank Limited,"[""national bank""]",False
National Bank Of Scotland,commercial_bank,commercial_bank,0.95,curated match: National Bank Limited,"[""national bank""]",False
National Discount Co Of Limited,discount_house,discount_house,0.95,curated match: National Discount Company — major joint-stock discount house chartered 1856,"[""national discount""]",False
National Provincial Bk Of England Ltd,commercial_bank,merchant,0.95,curated match: National Provincial Bank of England,"[""national provincial""]",False
Natl Bk Of Africa Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Natl Bk Of Australasia,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Natl Bk Of Belgium,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Natl Bk Of England Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Natl Bk Of India Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Naylor Benyon Co Ld,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
"Naylor, Benzon & Co",individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Nesleukings Bus,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Nestle & Anglo Swiss C.Milk Co,unknown,other,0.0,no rule matched,[],True
Nestle Andreae & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Neumann Lueback & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Neville Reid Prestwich & Co,unknown,merchant,0.0,no rule matched,[],True
New Zealand Bank,individual_or_partnership,commercial_bank,0.55,"short bare name, no firm suffix",[],True
New Zealand Loans Afe,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Newton B & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Nohler & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Norris & Chaplin,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Northumberland & Durham Coal Co,industrial_or_corporate,other,0.7,matched rules: industrial_or_corporate,"[""industrial commodity""]",False
Norton Megaw & Co Ltd,industrial_or_corporate,merchant,0.3,matched rules: industrial_or_corporate,"[""joint-stock company suffix""]",False
Novelli & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Nowoorjee Furdoonjee,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
O. Roberts & Son,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Oastler & Palmer,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Oliver & Carr,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Ollier & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
Oriental Bank Corporation,commercial_bank,commercial_bank,0.95,curated match: Oriental Bank Corporation — colonial bank,"[""oriental bank""]",False
Overend Gurney & Co,discount_house,merchant,0.95,"curated match: Overend, Gurney & Co. — the failed bill-broking firm; pre-1866 records and 1866-era counterparty","[""overend""]",False
Owthwaite & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
P & C Van Notten & Co,unknown,merchant,0.0,no rule matched,[],True
P Davey & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
P Grenfell & Sons,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
P Hava & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
P Howard,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
P J Meugsino,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
P Mordon & Co,individual_or_partnership,merchant,0.55,"short bare name, no firm suffix",[],True
P T Ralli,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
P. Abraham,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
P. J. Morgan & Co,merchant_bank,merchant_bank,0.95,"curated match: J. P. Morgan / Morgan, Grenfell — Anglo-American merchant bank","[""morgan""]",False
P. S. Galitti,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Page & Welch,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Palmer Mackillop Dent & Co,unknown,merchant,0.0,no rule matched,[],True
Parker Son & Picktchef,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Parkinson & Dilchick,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Parner Sons & Pictoned,individual_or_partnership,other,0.55,"short bare name, no firm suffix",[],True
Parr'S Bank Ltd,commercial_bank,commercial_bank,0.9,"matched rules: commercial_bank, industrial_or_corporate","[""Bank Limited"", ""joint-stock company suffix""]",False
